id,height,weight,position,firstseason,lastseason,games,pts,reb,ast,stl,fga,fgm,fta,ftm
ABDELAL01,208,109,F,1990,1994,256,1465,846,85,71,1236,620,321,225
ABDULKA01,218,102,C,1969,1988,1560,38387,17440,5660,1160,28307,15837,9304,6712
ABDULMA01,185,73,G,1990,2000,586,8553,1087,2079,487,7943,3514,1161,1051
ABDULTA01,198,101,G,1997,2002,236,1830,776,266,184,1726,720,529,372
ABDURSH01,206,102,F,1996,2007,830,15028,6239,2109,820,11515,5434,4943,4006
ABERNTO01,201,100,F,1976,1980,319,1779,1011,384,185,1472,724,443,331
ABLEFO01,190,82,G,1956,1956,1,0,1,1,0,2,0,0,0
ABRAMJO01,190,88,F,1946,1947,56,533,0,37,0,855,203,185,127
ACKERAL01,196,84,G,2005,2008,30,81,29,16,6,92,34,10,5
ACKERDO01,183,83,G,1953,1953,28,43,15,23,0,63,14,28,15
ACRESMA01,211,100,C,1987,1992,375,1343,1525,180,137,1016,514,463,308
ACTONCH01,198,95,F,1967,1967,23,77,47,11,0,74,29,29,19
ADAMSAL01,206,95,C,1975,1987,988,13910,6937,4012,1289,11464,5709,3160,2490
ADAMSDO01,198,95,F,1970,1976,507,4497,2848,957,321,4437,1781,1263,935
AdamsHa01,193,100,G,2006,2008,72,185,84,14,18,148,79,42,27
ADAMSMI01,178,73,G,1985,1995,653,9621,1900,4209,1081,7849,3257,2543,2158
ADDISRA01,201,98,F,1986,1996,379,2186,777,339,148,2047,920,359,277
ADELMRI01,185,79,G,1968,1974,462,3579,1129,1606,106,3330,1381,1146,817
AgerMa01,196,92,G,2006,2008,77,154,44,18,5,177,58,53,30
AGUIRMA01,198,105,F,1981,1993,923,18458,4578,2871,687,14865,7201,4944,3664
AhearBl01,188,86,G,2007,2008,13,73,16,17,7,56,16,31,30
AINGEDA01,193,79,G,1981,1994,1042,11964,2768,4199,1133,9905,4643,1980,1676
AKINHE01,208,102,C,1966,1968,86,304,177,39,0,367,129,68,46
ALARIMA01,203,98,F,1986,1990,325,2432,1120,363,132,2184,1037,418,324
ALCORGA01,206,102,C,1959,1960,78,261,329,24,0,352,103,92,55
ALEKSCH01,211,118,C,1984,1984,74,377,270,36,15,337,161,75,55
ALEXACO01,185,84,G,1995,2004,305,1677,481,834,263,1508,587,352,266
ALEXACO02,196,93,G,2000,2002,187,1690,409,227,111,1552,655,417,339
ALEXAGA01,201,109,F,1993,1993,11,19,15,2,3,14,8,9,3
ALEXAVI01,206,120,C,1991,2001,286,2542,1384,257,135,2126,1101,509,322
ALFORST01,188,83,G,1987,1990,169,744,144,176,85,634,291,146,127
ALLENBO01,206,93,F,1968,1968,27,48,56,10,0,43,14,36,20
ALLENJE01,193,83,G,1995,1995,41,108,25,49,21,105,36,36,26
ALLENLU01,188,79,G,1969,1978,702,9407,2205,3174,604,8385,3884,2157,1639
ALLENRA01,203,100,F,1988,1989,70,252,145,23,17,258,114,45,24
ALLISOD01,198,88,F,1971,1971,36,67,45,10,0,78,17,61,33
AllreLa01,211,113,C,2007,2007,3,3,1,0,0,4,1,2,1
ALLUMDA01,204,100,F,1980,1980,22,59,65,25,5,67,23,22,13
AlmonMo01,198,102,G,2007,2008,34,105,38,10,5,96,37,32,25
ALSTODE01,211,102,C,1994,1996,139,751,525,94,95,650,318,234,114
ALUMAPE01,208,118,C,1998,1998,2,2,2,0,1,2,1,0,0
AMAECJO01,208,122,C,1995,2002,294,1837,772,228,90,1646,663,760,510
AMAYAAS01,203,104,F,1995,1996,85,379,355,36,29,292,133,177,112
ANDERAL01,198,100,G,2005,2006,53,305,102,53,18,262,112,64,52
ANDERBO01,190,91,F,1959,1959,33,133,69,29,0,143,55,42,23
ANDERCA01,208,104,F,1987,1997,680,4953,4246,385,480,4090,2011,1668,929
ANDERCL01,188,91,G,1967,1970,81,247,103,68,0,202,71,177,105
ANDERDA02,188,84,G,1974,1975,95,347,91,166,36,286,135,91,77
ANDERDE01,196,88,G,1997,2007,615,7357,1988,2083,691,5922,2419,2198,1874
ANDERDW01,190,84,G,1982,1982,5,21,2,3,1,14,7,10,7
ANDERER01,206,100,F,1992,1993,27,42,31,5,3,35,12,27,16
ANDERJE01,196,88,G,1975,1976,49,127,25,16,9,104,51,36,25
ANDERKE01,201,91,F,1978,1978,21,63,45,15,4,77,24,28,15
ANDERKE02,183,76,G,1991,2004,858,10789,2641,5196,1259,9512,4002,2833,2238
ANDERMI01,203,88,F,1982,1984,157,751,439,110,107,658,306,249,139
ANDERMI02,180,83,G,1988,1988,36,204,89,153,44,175,73,82,57
ANDERNI01,198,93,G,1989,2001,800,11529,4063,2087,1114,9891,4416,2461,1642
ANDERRI01,208,109,F,1982,1989,407,2260,1418,611,225,2206,909,386,294
ANDERRO01,201,98,F,1984,1993,664,7056,2312,952,470,6239,2936,1325,1079
ANDERSH01,198,94,G,1996,2005,719,5327,2252,1007,556,4366,1996,1392,1028
ANDERWA01,201,100,C,1969,1969,44,159,82,9,0,166,65,46,29
ANDERWI01,201,86,G,1988,1996,555,6771,2082,2105,594,5952,2804,1353,1064
ANDRIMA01,218,109,F,2005,2005,6,0,4,0,2,1,0,0,0
ANIELDO01,201,86,F,1954,1954,1,3,2,0,0,4,0,4,3
ANSLEMI01,201,102,F,1989,1991,149,1026,621,67,51,746,383,360,260
ANSTECH01,213,113,C,1997,1999,155,813,534,127,78,734,303,269,203
ANTHOGR01,183,80,G,1991,2001,757,5497,1417,2997,887,4749,1914,1445,1059
ARAUJRA01,211,127,C,2004,2006,140,393,396,47,52,392,158,112,76
ARCENST01,193,95,F,1961,1961,7,50,32,4,0,56,22,13,6
ARCHINA01,185,68,G,1970,1983,876,16481,2046,6476,719,12628,5899,5760,4664
ARCHIRO01,211,113,F,2002,2003,44,51,69,16,14,53,15,49,21
ARDJI01,203,98,C,1970,1977,218,771,820,149,43,831,300,246,171
ARIZIPA01,193,86,F,1950,1961,713,16266,6129,1665,0,13354,5628,6189,5010
ARLAUJO01,206,104,F,1987,1987,9,34,13,8,3,43,14,8,6
ARMSTBJ01,188,79,G,1989,1999,747,7320,1321,2479,533,5981,2850,1383,1184
ARMSTBO01,203,100,C,1956,1956,19,28,39,3,0,37,11,12,6
ARMSTBR01,196,84,G,2001,2003,108,239,63,24,22,287,101,20,12
ARMSTDA01,183,77,G,1994,2007,840,7712,2270,3394,1133,6506,2663,1679,1463
ARMSTPA01,180,77,G,1948,1950,153,1040,89,358,0,1176,347,500,346
ARMSTTA01,190,79,G,1977,1978,92,350,88,105,33,350,159,40,32
ARNELJE01,196,100,F,1955,1955,31,147,170,18,0,164,52,69,43
ARNETJA01,188,79,G,1963,1965,114,424,116,139,0,447,163,129,98
ARNZEBO01,196,93,F,1969,1973,55,301,152,24,0,277,128,52,45
ARTHUJO01,193,84,G,1969,1969,11,35,14,17,0,35,12,15,11
ASKEWVI01,198,95,G,1987,1997,467,3313,1176,1017,304,2534,1215,1070,807
ASKINKE01,201,89,F,1990,1998,486,1852,1428,375,278,1688,677,311,223
ASMONDO01,188,84,G,1953,1953,7,5,1,5,0,15,2,1,1
ATHARI01,188,86,G,1955,1957,43,137,66,51,0,135,53,39,31
ATTLEAL01,183,79,G,1960,1970,711,6328,2463,2483,0,5545,2499,2106,1330
AUBUCCH01,178,62,G,1946,1946,30,65,0,20,0,91,23,35,19
AUGMOST01,198,93,G,1991,2005,1001,7990,3217,1561,974,6480,3037,2616,1904
AugusJa01,208,107,F,2006,2007,27,42,33,4,5,37,19,8,4
AUSTIIS01,208,116,C,1991,2001,432,3285,2030,538,214,2901,1295,1024,686
AUSTIJO01,183,77,G,1966,1967,4,23,7,4,0,22,5,16,13
AUSTIKE01,206,93,F,1983,1983,7,12,3,1,1,13,6,0,0
AVENTAN01,206,107,F,1992,1999,352,1958,1584,278,166,2019,814,481,330
AVERIWI01,185,77,G,1973,1977,130,1085,161,330,69,1103,432,310,221
AVERYWI01,188,89,G,1999,2001,142,379,93,199,34,415,137,91,65
AWTREDE01,208,107,C,1970,1981,733,3516,3342,1467,186,3009,1382,1154,752
BABICMI01,213,109,C,1990,1991,21,37,20,10,2,32,12,20,13
BACHJO01,188,82,F,1948,1948,34,119,0,25,0,119,34,75,51
BAECHJI01,193,93,F,1952,1956,321,3123,1009,685,0,2876,1117,1135,889
BAGARDA01,216,116,C,2000,2002,95,251,238,37,29,269,97,102,57
BAGLEJO01,183,84,G,1982,1993,665,5802,1729,3980,755,5398,2359,1245,970
BAILECA01,213,95,C,1981,1981,1,2,0,0,0,1,1,0,0
BAILEGU01,196,84,G,1974,1979,147,389,244,168,56,384,156,149,76
BAILEJA01,206,100,F,1979,1987,595,5246,2988,488,305,4228,2045,1644,1155
BAILETH01,211,98,F,1983,1998,928,11834,4718,1298,435,10056,4753,2863,2324
BAILETO01,198,97,G,1998,1999,73,241,126,43,22,226,92,78,54
BAKERMA01,185,79,G,1998,1998,1,0,0,0,0,1,0,0,0
BAKERMA02,185,79,G,2004,2004,5,0,2,1,1,1,0,0,0
BAKERNO01,183,82,G,1946,1946,4,0,0,0,0,1,0,0,0
BAKERVI01,210,105,F,1993,2005,791,11839,5867,1508,582,9675,4692,3787,2416
BALLAGR01,201,98,F,1977,1988,802,9953,4858,1733,877,8942,4220,1805,1420
BALLCE01,203,95,F,1990,1990,7,8,11,0,0,8,3,2,2
BALTIHE01,193,88,F,1946,1946,58,138,0,16,0,263,53,69,32
BANKSGE01,201,98,F,1981,1986,468,5305,2718,1335,436,3961,2134,1418,1035
BANNIKE01,206,107,F,1984,1990,253,1501,893,111,109,1202,586,669,329
BANTOMI01,206,91,F,1973,1981,706,8568,4517,1623,630,7362,3446,2418,1673
BARBEJO01,198,95,F,1956,1956,5,7,6,0,0,8,2,6,3
BARDOST01,196,86,G,1991,1995,33,73,60,44,12,85,28,23,16
BARKECL01,188,84,G,1949,1951,149,557,181,294,0,637,201,234,155
BARKETO01,211,102,C,1976,1978,98,639,520,75,43,592,250,201,139
BARKLCH01,196,113,F,1984,1999,1073,23757,12546,4215,1648,15605,8435,8643,6349
BARKLER01,185,80,G,2000,2001,27,77,21,40,19,90,32,10,9
BARKSDO01,198,91,F,1951,1954,262,2895,2088,549,0,2747,1016,1307,863
BARNEDI01,193,86,G,1959,1973,971,15358,2812,2729,1,13227,6034,4324,3290
BARNEHA01,190,93,F,1968,1968,22,43,26,5,0,64,18,13,7
BARNEJI01,203,95,C,1964,1970,454,3997,2939,377,0,3607,1548,1317,901
BARNEJI02,193,77,G,1966,1976,732,8536,2259,2232,131,7642,3326,2363,1884
BARNEMA01,203,95,F,1974,1979,171,1569,946,252,145,1444,638,436,293
BARNHJO01,185,82,G,1962,1971,426,3648,1193,1205,0,3583,1490,1026,668
BARNHLE01,193,86,F,1949,1953,344,3232,1506,1116,0,3689,1356,782,520
BARNHNO01,193,93,G,1976,1976,4,4,3,1,0,6,2,0,0
BARREAN01,175,78,G,2004,2007,67,219,71,135,29,241,89,33,24
BARREER01,190,82,G,1953,1955,131,641,343,229,0,724,267,143,107
BARRJO01,190,93,F,1946,1946,58,295,0,54,0,438,124,79,47
BARRMI01,190,82,G,1972,1976,73,285,130,175,52,279,122,57,41
BARRODA01,180,74,G,1989,2003,850,8901,1609,2837,740,7148,3281,1456,1249
BARRTH01,193,88,G,1970,1970,31,61,20,28,0,62,25,13,11
BARRYBR01,198,84,G,1995,2008,912,8488,2780,2892,955,6301,2896,1581,1301
BARRYDR01,196,87,G,1997,1999,60,134,67,111,19,103,43,31,24
BARRYJO01,193,88,G,1992,2005,821,4715,1511,1784,722,3672,1595,1023,868
BARRYRI01,201,93,F,1965,1979,794,18395,5168,4017,1104,16163,7252,4243,3818
BARTEED01,198,88,F,1949,1950,32,135,84,32,0,183,46,80,43
BARTOVI01,213,104,C,1971,1971,38,34,60,3,0,59,15,5,4
BASDEED01,196,98,G,2005,2005,19,39,28,8,9,37,15,10,8
BASKEJE01,201,86,F,1975,1975,21,26,28,3,6,26,8,16,10
BASSETI01,203,102,F,1973,1979,235,1390,1496,285,209,1470,570,420,250
BASTOMA01,206,98,F,2002,2008,105,286,175,26,24,172,106,96,71
BATEEME01,211,132,C,2001,2003,46,156,114,27,11,156,61,39,29
BATESBI01,193,95,G,1979,1982,187,2197,313,352,151,1885,893,471,375
BATISES01,208,122,G,2005,2006,71,121,174,11,18,96,42,60,37
BATISMI01,203,102,F,2002,2002,75,481,257,52,42,467,197,88,69
BATTLJO01,188,79,G,1985,1994,612,5338,824,1257,273,4430,2054,1472,1168
BATTLKE01,198,95,G,1989,1992,134,627,327,106,98,482,243,189,137
BATTODA01,208,109,C,1982,1983,58,188,123,32,15,201,90,17,8
BAUMHFR01,178,77,G,1946,1946,45,631,0,54,0,856,255,156,121
BAUMJO01,196,91,F,1969,1973,65,292,129,31,0,304,126,58,40
BAXTELO01,203,118,F,2002,2005,162,637,466,40,37,530,247,216,142
BAYLOEL01,196,102,F,1958,1971,846,23149,11463,3650,0,20171,8693,7391,5763
BAZARSE01,188,76,G,1994,1994,10,30,7,14,1,22,11,9,7
BEACHED01,190,91,F,1950,1950,12,22,25,3,0,38,8,9,6
BEARDBU01,190,84,G,1969,1978,605,5622,2042,2189,499,4495,2187,1619,1248
BEARDRA01,178,79,G,1949,1950,126,2006,251,551,0,2046,749,660,508
BEASLJE01,208,109,F,2003,2003,2,2,1,0,0,3,1,0,0
BEATYZE01,206,102,C,1962,1974,570,9107,5949,839,45,7237,3396,3087,2315
BECKBY01,206,102,C,1967,1976,53,250,96,33,15,246,107,44,36
BECKCO01,185,86,G,1995,1998,88,241,125,123,43,206,93,76,52
BECKEMO01,185,84,G,1946,1946,43,162,0,30,0,358,70,44,22
BECKER01,193,86,G,1953,1960,371,2325,1191,669,0,2425,929,613,467
BEDFOWI01,213,102,C,1986,1992,238,964,573,109,37,974,405,243,147
BEENDHA01,197,84,C,1946,1948,111,935,0,53,0,1313,348,348,239
BEHAGRO01,206,84,F,1973,1979,388,3977,2712,624,290,3750,1594,1047,789
BEHNKEL01,201,95,C,1951,1951,4,16,17,4,0,22,6,7,4
BELLAWA01,210,102,C,1961,1974,1043,20941,14241,2544,52,15340,7914,8088,5113
BELLDE01,196,84,F,1973,1975,63,175,119,28,28,203,76,43,23
BELLTR01,185,82,G,2003,2003,6,11,4,4,1,18,4,3,3
BELLWI01,183,82,G,1959,1960,36,183,94,56,0,203,77,46,29
BEMORIR01,190,84,F,1953,1956,131,827,341,125,0,890,309,311,209
BENBOLE01,193,84,G,1974,1975,115,628,214,183,73,645,254,158,120
BENJABE01,213,113,C,1985,1999,807,9223,6063,1070,522,7224,3588,2837,2046
BENJACO01,198,91,G,1998,2002,153,835,259,143,71,812,317,221,144
BENNEEL01,183,77,G,1994,1996,21,48,10,22,9,47,16,18,13
BENNEMA01,198,107,F,1995,1999,68,269,182,24,31,208,111,90,46
BENNEME01,201,91,F,1975,1981,129,498,426,107,52,439,152,319,194
BENNETO01,183,79,G,1992,1994,152,538,155,303,69,536,221,56,41
BENNEWI01,201,95,G,1989,1991,136,648,414,120,50,604,257,193,134
BENOIDA01,203,100,F,1991,2000,492,3455,1984,287,216,3051,1335,722,574
BENSOKE01,208,107,C,1977,1987,680,6168,3881,1203,605,5224,2578,1327,1005
BERCEGE01,180,79,G,1949,1949,3,10,0,2,0,16,5,5,0
BERGEGA01,203,95,C,1956,1956,6,8,8,1,0,11,3,2,2
BERRYRI01,203,93,F,1988,1988,64,706,197,80,37,567,255,166,131
BERRYWA01,203,98,F,1986,1988,205,2882,971,292,122,2227,1201,751,479
BESHODE01,180,75,G,1978,1979,69,244,63,139,58,250,88,87,58
BESTTR01,180,83,G,1995,2004,708,5376,1249,2444,661,4642,2002,1324,1106
BIANCAL01,190,84,G,1956,1965,687,5550,1722,1497,0,5919,2212,1592,1126
BIASAHA01,180,79,G,1946,1946,6,6,0,0,0,5,2,4,2
BIBBYHE01,185,84,G,1972,1980,675,5775,1581,2259,561,5073,2149,1834,1434
BIEDEED01,185,79,G,1968,1968,7,4,2,3,0,6,0,6,4
BIELKDO01,201,109,C,1955,1955,7,14,9,1,0,9,5,7,4
BIGELBO01,201,98,F,1975,1978,94,234,111,42,19,220,91,71,52
BINGDA01,190,82,G,1966,1977,901,18327,3420,5397,483,15769,6962,5683,4403
BINIOJO01,203,107,F,1986,1986,11,14,18,1,2,10,4,10,6
BIRDJE01,198,95,F,1958,1958,11,25,12,4,0,32,12,1,1
BIRDLA01,206,100,F,1979,1991,897,21791,8974,5695,1556,17334,8591,4471,3960
BIRDSOT01,190,86,G,1977,1988,696,12544,2072,2260,858,10562,5347,2748,1801
BISHOGA01,190,88,F,1948,1948,56,467,0,92,0,523,170,195,127
BLABUW01,216,114,C,1985,1989,235,505,413,102,19,427,185,222,135
BLACKAL01,198,113,F,1992,1992,27,34,23,7,4,42,14,8,6
BLACKCH01,194,91,F,1948,1951,136,1245,31,312,0,1535,435,624,375
BLACKCO01,198,95,F,1984,1984,60,202,96,26,25,237,87,55,28
BLACKJA01,183,86,G,1994,1994,13,18,11,11,4,13,8,3,2
BLACKNA01,193,77,G,1987,1987,10,37,6,18,3,41,15,6,5
BLACKNO01,196,84,G,1980,1980,3,8,2,2,1,10,3,8,2
BLACKRO01,198,88,G,1981,1993,980,17623,3278,2981,715,13969,6887,4309,3620
BLACKTO01,208,100,C,1970,1970,71,299,259,44,0,301,121,88,57
BlaloWi01,183,91,G,2006,2006,14,25,15,17,5,30,9,6,6
BLANEGE01,185,79,G,1961,1961,36,117,36,45,0,142,54,17,9
BLANKLA01,193,86,G,1990,1992,142,289,110,117,39,266,116,57,38
BLANTRI01,201,98,F,1992,1992,2,6,3,1,2,7,3,0,0
BLAYLMO01,183,82,G,1989,2001,889,11962,3659,5972,2073,11499,4705,1724,1269
BLEVILE01,188,73,G,1950,1950,3,2,2,1,0,4,1,1,0
BLOCKJO01,206,94,F,1966,1975,597,7106,3965,805,111,5987,2592,2470,1922
BLOOMMI01,198,86,C,1947,1948,93,634,0,70,0,821,209,303,216
BLOUNCO01,206,109,F,1993,2003,644,2287,2690,460,328,2038,959,624,366
BLOUNMA01,213,104,C,2000,2008,605,4941,2784,513,327,4010,2020,1195,864
BLUMERA01,193,84,G,1981,1981,49,226,41,68,23,222,102,28,18
BOBBITO01,193,86,G,2004,2004,2,5,3,0,0,5,2,0,0
BOBBNE01,183,77,G,1949,1952,227,1052,405,488,0,1030,361,539,330
BOCKHAR01,193,91,G,1958,1964,474,5430,2234,1645,0,5574,2245,1256,940
BOERWTO01,213,120,C,1968,1977,635,4596,5745,2007,110,4109,1863,1288,870
BOGUEMU01,160,62,G,1987,2000,889,6858,2318,6726,1369,6210,2845,1284,1062
BOHANET01,206,100,F,1997,2000,26,37,44,6,2,21,9,28,19
BOLGEBI01,196,93,F,1953,1953,20,56,36,11,0,59,24,13,8
BOLMA01,229,91,C,1985,1994,624,1599,2647,171,126,1635,665,403,226
BOLSTDO01,193,88,G,1957,1957,3,4,0,0,0,5,2,0,0
BONDPH01,188,79,G,1977,1977,7,4,4,2,1,6,2,0,0
BONDWA01,196,91,G,1992,1994,153,873,289,177,97,805,329,227,174
BONEYDE01,193,84,G,1996,1996,8,19,6,0,2,19,6,8,6
BONHARO01,194,87,F,1964,1967,76,478,113,30,0,427,167,173,144
BONNEAN01,203,98,F,1990,1995,318,2199,1726,442,346,1881,881,737,435
BONSAGE01,203,100,F,1961,1961,3,4,2,0,0,8,2,0,0
BOOKEME01,185,84,G,1995,1996,32,166,38,74,8,155,62,31,27
BOONERO01,188,91,G,1968,1980,379,5284,1046,1273,420,4703,2134,1155,986
BOOTHCA01,211,104,C,1999,2008,366,1190,1010,151,101,1047,472,326,244
BOOTHKE01,198,103,F,1997,1998,45,130,97,39,22,157,51,48,27
BOOZEBO01,203,98,F,1960,1970,874,12964,7119,1237,0,10738,4961,3998,3042
BORCHCU01,213,109,C,2003,2004,83,258,278,64,14,228,96,89,66
BORNHJA01,196,91,F,1948,1949,75,342,0,53,0,414,122,146,98
BORRELA01,203,100,F,1999,1999,17,62,40,10,6,63,28,11,6
BORSACO01,203,100,C,1950,1950,24,64,24,4,0,74,26,18,12
BORYLVI01,194,95,F,1949,1953,285,3187,831,610,0,3200,1187,996,813
BOSTIJI01,201,102,F,1977,1977,4,26,16,3,0,22,12,5,2
BOSTOLA01,203,102,F,1979,1979,13,56,39,2,4,52,24,13,8
BOSWETO01,204,100,F,1975,1983,366,2821,1709,591,142,2058,1096,860,623
BOUMTRU01,213,117,C,2001,2003,44,43,57,6,4,38,14,27,15
BOVENDO01,193,95,F,1949,1952,195,1763,553,393,0,1653,561,908,641
BOWDLCA01,208,111,C,1999,2001,142,424,272,29,42,403,163,125,96
BOWENBR01,201,84,F,1996,2008,873,5290,2428,1089,712,4760,1945,1013,582
BOWIEAN01,198,86,G,1988,1997,461,2945,1021,840,288,2629,1247,467,384
BOWIESA01,216,107,C,1984,1994,511,5564,3845,1075,263,4702,2127,1708,1278
BOWMAIR01,196,88,F,1999,2001,17,15,5,9,3,11,7,2,1
BOWMANA01,208,104,C,1966,1971,243,702,791,162,0,764,298,201,106
BOYCEDO01,196,89,G,1995,1996,30,79,25,16,13,86,30,26,13
BOYDDE01,185,79,G,1978,1978,5,6,2,7,0,12,3,0,0
BOYDFR01,188,82,G,1972,1977,327,2784,533,986,184,2817,1165,681,454
BOYDKE01,196,88,F,1974,1974,6,19,5,2,3,13,7,11,5
BOYKOHA01,207,102,C,1949,1950,109,1105,220,209,0,1034,414,362,277
BOYNEWI01,198,84,G,1978,1980,177,1478,363,207,125,1375,598,360,282
BozemCe01,198,94,G,2006,2006,23,26,23,9,5,39,11,6,2
BRACEST01,185,79,G,1972,1974,187,1141,291,408,74,1045,487,244,167
BRADDGA01,203,95,F,1964,1970,44,144,92,20,0,117,48,67,48
BRADLAL01,198,86,F,1977,1979,99,440,151,74,24,440,184,101,71
BRADLAL02,198,98,F,1981,1981,39,137,65,11,12,103,54,48,29
BRADLBI01,196,93,F,1967,1976,742,9217,2354,2533,209,8763,3927,1623,1363
BRADLCH01,196,98,G,1981,1983,110,347,119,55,46,305,127,159,93
BRADLDU01,198,88,G,1979,1988,600,3131,1098,1147,940,2780,1222,803,586
BRADLJO01,190,79,G,1949,1949,46,87,0,36,0,134,36,38,15
BRADLMI01,208,102,F,2001,2005,173,483,591,93,25,457,218,88,45
BRADLSH01,226,107,C,1993,2004,832,6752,5268,573,532,5935,2713,1847,1322
BRADTMA01,208,120,C,1996,1996,36,59,68,7,5,58,25,13,9
BRAGGMA01,203,104,F,1995,1995,53,131,79,8,17,120,54,41,23
BRAGGTO01,203,92,F,2003,2004,22,46,51,7,4,40,19,12,8
BRAMLAJ01,208,103,C,1999,1999,8,8,22,0,1,21,4,0,0
BRANCAD01,201,84,F,1986,1989,130,834,253,96,83,727,331,219,163
BRANDTE01,180,82,G,1991,2001,724,9994,2174,4407,1142,8710,3908,2043,1784
BRANNBO01,196,98,F,1949,1954,338,2455,1944,699,0,2581,887,1044,681
BRANSBR01,208,100,F,1981,1982,72,391,206,52,32,360,152,120,87
BRANSJE01,201,88,F,1965,1967,5,5,9,1,0,6,1,4,3
BRASCJI01,185,77,G,1952,1952,30,110,39,33,0,142,36,48,38
BRATZMI01,188,84,G,1977,1985,586,4081,1030,1851,548,3880,1578,934,775
BRAUNCA01,196,82,G,1947,1961,788,10625,2122,2892,0,10211,3912,3484,2801
BREAUTI01,201,98,F,1994,1997,102,299,96,41,24,293,108,96,61
BREMEJR01,188,84,G,2002,2003,100,646,181,215,56,622,214,131,98
BRENNPE01,198,93,F,1958,1958,16,40,31,6,0,43,13,25,14
BRENNTO01,190,88,F,1954,1954,11,10,5,2,0,11,5,0,0
BREUERA01,221,104,C,1983,1993,681,4599,2986,616,305,4060,1898,1278,803
BREWEJA01,193,82,G,2001,2004,54,89,50,56,19,94,35,28,11
BREWEJI01,206,95,F,1973,1981,703,4099,4458,1038,556,3983,1785,925,528
BREWERO01,193,82,G,1978,1985,501,5971,971,920,480,5437,2497,1149,947
BRIANFR01,185,82,G,1949,1955,438,5379,903,1138,0,5192,1765,2251,1849
BRICKFR01,206,109,F,1984,1996,731,7302,3410,1384,644,5538,2873,2028,1501
BRIDGBI01,197,103,F,1962,1974,926,11012,11054,2553,69,9463,4181,3824,2650
BRIDGJU01,196,95,F,1975,1986,849,11517,2995,2066,685,10099,4801,2216,1875
BRIGHAL01,188,88,F,1946,1946,58,567,0,60,0,870,223,193,121
BRINDAU01,193,79,F,1946,1946,12,34,0,1,0,49,14,7,6
BRISKJO01,196,95,F,1969,1974,126,1498,498,225,35,1346,590,385,318
BRISTAL01,201,95,F,1973,1982,648,5122,2613,2098,490,4296,1977,1444,1152
BRITTDA01,193,82,G,1980,1980,2,4,2,3,1,3,2,0,0
BRITTMI01,213,107,C,1985,1986,38,63,53,7,4,52,26,21,11
BRITTTY01,193,86,G,1967,1967,11,28,15,12,0,34,13,3,2
BRITTWA01,188,84,G,1977,1977,7,9,4,2,1,10,3,4,3
BROGAJI01,193,84,G,1981,1982,121,619,182,222,75,577,256,127,95
BROKAGA01,193,81,G,1974,1977,241,1928,407,715,107,1640,731,654,466
BROOKKE01,198,91,F,1991,1993,126,417,141,48,18,429,172,71,61
BROOKMI01,201,100,F,1980,1987,319,4086,2001,818,387,3445,1673,1029,735
BROOKPR01,193,84,F,1948,1949,61,476,0,137,0,661,187,138,102
BROOKSC01,180,75,G,1988,1997,680,3317,685,1608,480,2738,1233,664,564
BrownAn01,206,111,F,2006,2008,75,197,178,11,14,159,82,66,33
BROWNBO01,193,93,F,1948,1949,82,832,0,115,0,875,313,299,206
BROWNCH01,201,97,F,1989,2001,693,4122,2147,549,228,3486,1711,971,678
BROWNDA01,188,79,F,1948,1948,3,4,0,0,0,6,2,2,0
BROWNDA02,203,100,F,2001,2004,39,108,52,19,5,128,43,27,18
BROWNDE01,185,73,G,1990,2001,608,6758,1556,2223,792,5823,2540,1300,1073
BrownDe03,183,84,G,2006,2008,68,140,69,119,32,147,50,42,27
BROWNER01,213,116,C,2001,2001,3,3,6,0,0,6,1,4,1
BROWNFR01,190,83,G,1971,1983,963,14018,2637,3160,1149,12568,6006,2211,1896
BROWNGE01,198,86,F,1957,1957,1,1,1,0,0,2,0,2,1
BROWNGE02,193,95,G,1998,1998,33,80,22,31,5,89,33,14,11
BROWNHA01,183,70,G,1946,1946,54,264,0,39,0,383,95,117,74
BROWNJI01,208,107,C,1948,1949,35,50,0,8,0,50,18,29,14
BROWNJO01,201,100,F,1973,1979,486,3614,2126,703,250,2979,1348,1172,918
BROWNKE01,201,101,F,2001,2004,143,509,347,103,85,501,203,89,57
BROWNLE01,190,86,F,1946,1946,5,0,0,0,0,3,0,0,0
BROWNLE02,211,102,C,1980,1980,2,2,2,0,0,3,0,5,2
BROWNMA01,190,84,G,1996,1999,27,92,22,23,8,84,32,21,15
BROWNMI01,206,117,C,1986,1996,626,3130,2762,424,253,2476,1126,1271,877
BROWNMY01,190,82,F,1991,1991,4,9,3,6,1,6,4,0,0
BROWNPJ01,211,102,F,1993,2007,1089,9870,8404,1661,912,8365,3852,2718,2158
BROWNRA01,188,86,G,1991,2002,655,3148,1173,1420,722,3055,1275,831,574
BROWNRA02,203,100,F,1989,1989,16,16,15,4,0,28,8,2,0
BROWNRI01,208,98,C,1980,1984,340,1482,1200,119,95,1322,614,381,254
BROWNRO02,211,102,C,1972,1979,77,135,230,25,21,131,51,47,33
BROWNST01,190,91,F,1947,1951,34,104,17,10,0,134,41,37,22
BROWNTI01,188,86,G,2001,2004,134,527,166,266,64,526,202,121,93
BROWNTO01,198,84,F,1984,1991,360,2163,766,563,234,1969,860,566,407
